Model,Accuracy,F1 Score,Precision,Recall
XGBoost,0.7883263009845288,0.7872868416546304,0.7876790224059469,0.7883263009845288
Random Forest,0.7524613220815752,0.7472562021479227,0.7483257196207884,0.7524613220815752
SVM (RBF),0.729957805907173,0.7292861627163308,0.7296177513542556,0.729957805907173
