train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1.3918996010071192,0.3044091000603986,0.32356639086537997,1.3750681980796482,0.540084388185654,0.43068529772428066
1.3776487096762047,0.3929937588081337,0.39390189870303427,1.3450270476548567,0.32770745428973275,0.3422220633306208
1.3374617649958684,0.4837930340245621,0.46697189202034006,1.3093409279118413,0.5907172995780591,0.49554530737347496
1.322247094832934,0.5258707469297362,0.4742821441521327,1.3096031157866768,0.5822784810126582,0.5082262289715619
1.307476784938421,0.5538554459432253,0.5017885574194577,1.3081311505773794,0.5963431786216596,0.5004676486484312
1.3041136960188549,0.5592913227300181,0.5039429278026576,1.2979693101800007,0.5808720112517581,0.502311812275479
1.298414951715714,0.5617072679685927,0.5045784634158905,1.2927305491074272,0.60056258790436,0.4970251878151693
1.2938260115109956,0.5679484598349104,0.5071476317184136,1.2885343872982522,0.5935302390998594,0.49543505530847304
1.2863207642848675,0.5635192268975237,0.5070923033992516,1.2764927563459978,0.6047819971870605,0.5414226860789592
1.2859495664254212,0.5633178981276424,0.5125148892676508,1.2740183057992354,0.5963431786216596,0.5245538108027904
1.2849648831746516,0.5669418159855043,0.5091638012117959,1.270594526892123,0.6033755274261603,0.5365208249561323
1.2836445890940154,0.5673444735252667,0.5090408649813576,1.2645111239474753,0.5907172995780591,0.516928207117265
1.276515395213396,0.5701630763036037,0.519453566846792,1.265774377014326,0.549929676511955,0.5252203853573433
1.2756824776148186,0.5655325145963358,0.5229242206156055,1.2609541778979094,0.5949367088607594,0.5219056040544052
1.2741460899511974,0.5683511173746728,0.5195759496620895,1.243467698926511,0.6188466947960619,0.5469484883728791
1.2684972446698408,0.574994966780753,0.5282077116706031,1.2384739129439644,0.6075949367088608,0.5564991515490615
1.271727910408607,0.5425810348298772,0.5173328529112207,1.230966311434041,0.6230661040787623,0.5603364938557014
1.2568417932742681,0.5673444735252667,0.5304972117008591,1.229655657125556,0.6343178621659634,0.5824508642951425
1.2596419889193315,0.5580833501107308,0.5274865303153551,1.2200337156005527,0.6132208157524613,0.5633845797487063
1.2589655426832347,0.5562713911817999,0.5269874538904445,1.2200519183407659,0.6118143459915611,0.5621928336792761
1.25227974431637,0.5619085967384739,0.5371503928117584,1.2349440351776455,0.6090014064697609,0.5679779835596805
1.249287527341109,0.5671431447553855,0.541395797000131,1.2171892057294431,0.6075949367088608,0.5659047418377026
1.2575971392484813,0.545198308838333,0.525407017137213,1.2114511987437373,0.6258790436005626,0.5820598574186981
1.2404942711194356,0.5580833501107308,0.5343812652348577,1.2034207375153252,0.5850914205344585,0.5690581063691033
1.2417940466831892,0.5560700624119187,0.5355230933783586,1.1975815814474355,0.6047819971870605,0.5685304534944103
1.2405922275323134,0.545198308838333,0.5305573377500822,1.1902404142462688,0.6272855133614628,0.5929452421600743
1.2315780405814831,0.5770082544795652,0.5507122693971804,1.184270705865777,0.6019690576652602,0.5657772866050621
1.2240861700131342,0.5719750352325347,0.5487944859361328,1.1845612189044123,0.6033755274261603,0.5685080164800149
1.2201102509712562,0.5790215421783773,0.5575752637051254,1.1768532343532727,0.6258790436005626,0.5900114458883784
1.233300989254927,0.5691564324541977,0.5441029341877686,1.1841216139171435,0.6343178621659634,0.6037535660364219
1.2199940647070224,0.5705657338433662,0.5502916893807497,1.1736295534216838,0.6272855133614628,0.6013838567035558
1.2274814935830922,0.5651298570565734,0.5443891253337465,1.1807357487471208,0.6118143459915611,0.5855246823249444
1.2198041211336086,0.5800281860277834,0.5569619239174034,1.1624724398488584,0.6272855133614628,0.5954037418585318
1.2247587534097524,0.5681497886047916,0.5479511553210057,1.1683321932087773,0.6061884669479606,0.5741403026238752
1.2178881970735698,0.5776122407892088,0.5530594683365565,1.1615685976069907,0.6244725738396625,0.5891620169855705
1.2206751440580075,0.5671431447553855,0.5451415697050478,1.1742931759875754,0.630098452883263,0.6003952932281285
1.2099022009433844,0.5786188846386149,0.5560308111753453,1.161905076192773,0.6272855133614628,0.6011139380803965
1.203323708130763,0.5808335011073082,0.5590694453899019,1.156590910061546,0.6230661040787623,0.5907411495724006
1.1994051023935661,0.5766055969398027,0.5549772394594443,1.1523454733516858,0.6272855133614628,0.5993192372055739
1.21186947173033,0.5798268572579022,0.5593090781096247,1.1573532120041226,0.6146272855133614,0.577332979940647
