train_loss,train_recon,train_kl,val_loss,val_recon,val_kl
1822.7606482872595,1822.5565467247595,2.0409969902382445,1834.2072448730469,1833.9550476074219,2.5220704078674316
1774.621816781851,1774.4252366286057,1.9657599268815455,1791.5839742024739,1791.3235677083333,2.6040314038594565
1712.9587730994592,1712.7120580428686,2.4671473915760336,1719.9136759440105,1719.5195210774739,3.941671868165334
1642.585926544972,1642.3333974984976,2.5252742752050743,1652.8818054199219,1652.6076151529949,2.7420071363449097
1565.7715641902043,1565.4603631435295,3.1120200126599045,1584.6861267089844,1584.4061889648438,2.7992359399795532
1483.77443362505,1483.4888243063901,2.856112932547545,1464.293233235677,1463.939208984375,3.5401843786239624
1397.0130560459236,1396.6560864570813,3.569697062174479,1434.483378092448,1434.1299845377605,3.53396467367808
1305.1300729604868,1304.78515625,3.4491842496089444,1283.5750020345051,1283.18212890625,3.9288143316904702
1217.3042837289663,1216.8447594275842,4.5953463438229685,1208.4379323323567,1208.0399678548176,3.9796017011006675
1129.4960428873699,1129.1119924692007,3.840536796129667,1102.975845336914,1102.6220804850261,3.537652870019277
1046.0919103377905,1045.6460798214644,4.4582873827371845,1080.2619323730469,1079.8510030110676,4.10915191968282
966.5164720584185,966.1009231958634,4.155456475722484,940.3706919352213,939.888661702474,4.820321202278137
890.9691435985076,890.5472603822366,4.218849732325627,895.4534454345703,895.0596567789713,3.9378437201182046
819.295173449394,818.9099465394631,3.8522749772438636,834.210194905599,833.8506876627604,3.5949322978655496
752.4914762056791,752.1283541948368,3.6312067753229385,723.6071268717448,723.0597991943359,5.4732652107874555
685.6613190479768,685.1662433330829,4.950755333289122,673.9805908203125,673.5596771240234,4.209133863449097
624.4047092535557,624.0101197071565,3.945901381663787,613.5069325764974,613.1227416992188,3.841897507508596
570.2455217410356,569.8011736747546,4.443478889954396,561.6305338541666,560.924435933431,7.0610471566518145
520.6590738541041,520.086044115898,5.730284455495003,524.695546468099,524.2018356323242,4.937159697214763
474.58585396791113,474.1913248697917,3.945287606655023,490.19757588704425,489.83830006917316,3.5928067564964294
430.2195477607923,429.8652531550481,3.5429668915577426,420.03839111328125,419.6819432576497,3.5644524097442627
390.5802896939791,390.212032415928,3.6825731992721558,376.9781799316406,376.61080169677734,3.673810084660848
351.66750863882214,351.296518765963,3.709901730219523,373.36383565266925,373.0217997233073,3.420328418413798
318.3884131602752,318.0132283919897,3.751835178106259,323.3524754842122,323.00499725341797,3.474749525388082
281.66420520880285,281.22667185465497,4.375334470699995,272.42321395874023,272.01201756795246,4.111984491348267
247.44020618536533,247.07048152043268,3.6972409517337113,244.196652730306,243.85728454589844,3.3936487634976706
218.37686851697092,218.03035594255496,3.4651317657568517,197.62545267740884,197.24628448486328,3.791698237260183
192.0818918668307,191.74472094804813,3.3717113030262484,180.4344940185547,180.0988426208496,3.356483042240143
173.05708640660995,172.7239946707701,3.3309201216086364,162.03489939371744,161.69700876871744,3.3788928985595703
151.2289587167593,150.89147621546036,3.374832196113391,162.86542002360025,162.5099983215332,3.554210444291433
133.46825981140137,133.14231500870142,3.2594531774520874,127.44754791259766,127.12593905131023,3.2160866459210715
115.34588945828952,114.98495253538474,3.609374611805647,109.0117925008138,108.67291895548503,3.3887372414271035
102.31025622441219,101.97969030722594,3.305665590824225,102.32394472757976,101.99673970540364,3.272041896979014
89.51048855903821,89.17963008391551,3.308584295786344,61.779687563578285,61.44341309865316,3.3627399802207947
80.37566116528633,80.03490805014586,3.407532260968135,81.16806221008301,80.84238624572754,3.2567599018414817
71.10048330747165,70.77089006472856,3.2959349766755714,58.007511138916016,57.68309942881266,3.244121789932251
61.8888546870305,61.565786043802895,3.2306860868747416,47.85490290323893,47.536791483561196,3.1811102827390036
55.40715608841334,55.076237165010895,3.309188017478356,39.64566087722778,39.30925861994425,3.364023526509603
50.89671619121845,50.54550268711188,3.5121359458336463,57.2269655863444,56.86777591705322,3.5919004480044046
47.35561999296531,47.01667523995424,3.3894479152483816,42.59444920221964,42.2576273282369,3.368213931719462
42.69276379316281,42.36335502526699,3.294089442644364,33.06440877914429,32.70519510904948,3.592136323451996
41.85743248768342,41.52691731086144,3.3051492159183207,38.36932341257731,38.03422530492147,3.3509806394577026
43.535065626486755,43.14941457601694,3.8565081785886717,33.73863220214844,33.3312718073527,4.0736046234766645
38.57340304056803,38.19199386009803,3.814091288126432,29.183370272318523,28.827009042104084,3.5636109113693237
39.673534735655174,39.31951288076547,3.5402177694516306,27.418192545572918,27.080391089121502,3.3780141472816467
40.12183693127754,39.72910558260404,3.927311985920637,25.64916197458903,25.26522930463155,3.8393285075823465
33.60596082149408,33.224030421330376,3.81930262920184,24.737297296524048,24.382832686106365,3.544645627339681
32.84432880695049,32.44533876272348,3.989898782510024,26.464091459910076,26.089249928792317,3.748414675394694
32.21399512657752,31.857279973152355,3.5671493793145204,29.390503406524658,29.04729159673055,3.432116170724233
31.242651621500652,30.893414937532864,3.4923655008658385,27.969070593516033,27.61169958114624,3.573708256085714
